t_5s,fr_cool,T_in,duty,T_chamber,T_cool,gap,T_out
0,14.369,182.271,187.778,1065.7164,145.114,13.8,128.358
1,14.369,182.109,187.778,1065.7164,145.1555,13.82,128.358
2,14.369,182.369,187.778,1065.7164,145.244,13.87,131.478
3,14.369,182.369,187.778,1065.7164,145.17175,13.89,131.916
4,14.369,181.925,187.778,1065.7164,145.188,13.93,131.916
5,14.369,181.741,187.778,1065.7164,145.19975,13.94,131.916
6,14.373,182.098,187.778,1065.7164,145.1865,13.99,131.916
7,14.369,182.553,187.778,1065.7164,145.20125,14.03,131.916
8,14.371,182.185,187.778,1065.7164,145.244,14.1,131.916
9,14.371,182.141,187.778,1065.7164,145.23225,14.16,131.916
10,14.369,181.925,187.778,1065.7164,145.22775,14.21,131.946
11,14.371,182.217,187.778,1065.7164,145.21025,14.26,131.946
12,14.371,181.806,187.778,1065.7164,145.26025,14.32,135.402
13,13.91,181.135,187.778,1065.7164,145.2695,14.38,135.558
14,13.735,180.583,187.778,1065.7164,145.19825,14.47,135.582
15,13.681,180.345,187.778,1065.7164,145.17025,14.53,135.582
16,13.056,180.496,187.778,1065.7164,145.1555,14.59,135.582
17,12.206,179.771,187.778,1065.7164,145.2575,14.65,135.582
18,12.063,179.305,187.778,1065.7164,145.197,14.71,135.582
19,12.246,179.143,187.778,1065.7164,145.17175,14.79,135.606
20,12.179,179.619,187.778,1065.7164,145.19975,14.84,135.582
21,12.26,179.89,187.778,1065.7164,145.19975,14.92,135.606
22,12.311,179.847,187.778,1065.7164,145.19825,14.99,136.776
23,12.263,179.674,187.778,1065.7164,145.13925,15.03,136.752
24,12.258,178.937,187.778,1065.7164,145.2425,15.15,137.142
25,12.26,178.526,187.778,1065.7164,145.1525,15.22,136.776
26,12.258,178.58,187.778,1065.7164,145.17025,15.3,136.8
27,12.26,178.407,187.778,1065.7164,145.21175,15.38,137.892
28,12.263,178.569,187.778,1065.7164,145.1835,15.48,136.8
29,12.26,177.433,187.778,1065.7164,145.244,15.54,136.752
30,12.26,177.53,187.778,1065.7164,145.185,15.57,137.532
31,12.263,177.476,187.778,1065.7164,145.244,15.66,136.956
32,12.26,177.303,187.778,1065.7164,145.21025,15.65,137.922
33,12.256,177.476,187.778,1065.7164,145.28425,15.75,138
34,12.26,177.087,187.778,1065.7164,145.19675,15.79,137.97
35,12.26,177.411,187.778,1065.7164,145.2145,15.9,138
36,12.263,177.487,187.778,1065.7164,145.19675,15.95,138
37,12.26,178.028,187.778,1065.7164,145.15125,15.96,138
38,12.263,177.758,187.778,1065.7164,145.1795,16.03,138
39,12.26,177.833,187.778,1065.7164,145.21025,16.06,138
40,12.26,177.455,187.778,1065.7164,145.18075,16.09,137.97
41,12.258,177.476,187.778,1065.7164,145.2665,16.15,138
42,12.258,176.892,187.778,1065.7164,145.2075,16.18,137.844
43,12.26,176.08,187.778,1065.7164,145.28425,16.2,136.776
44,12.26,175.777,187.778,1065.7164,145.299,16.23,136.776
45,12.258,175.885,187.778,1065.7164,145.22225,16.28,136.752
46,12.26,175.43,187.778,1065.7164,145.2385,16.3,136.776
47,12.26,174.662,187.778,1065.7164,145.22225,16.32,136.776
48,12.26,174.521,187.778,1065.7164,145.22375,16.34,136.776
49,12.263,174.521,187.778,1065.7164,145.3285,16.35,136.776
50,12.26,173.46,187.778,1065.7164,145.31375,16.35,136.776
51,12.26,173.265,187.778,1065.7164,145.25325,16.38,136.776
52,12.26,172.638,187.778,1065.7164,145.268,16.39,134.88
53,12.263,171.046,187.778,1065.7164,145.327,16.4,134.412
54,12.258,171.068,187.778,1065.7164,145.25175,16.42,134.388
55,12.26,170.982,187.778,1065.7164,145.25475,16.42,134.388
56,12.26,170.332,187.778,1065.7164,145.1645,16.4,134.388
57,12.263,169.834,187.778,1065.7164,145.23975,16.43,134.388
58,12.258,169.867,187.778,1065.7164,145.31225,16.43,134.388
59,12.258,170.516,187.778,1065.7164,145.30925,16.43,134.358
60,12.26,171.945,187.778,1065.7164,145.237,16.44,134.388
61,12.26,172.8,187.778,1065.7164,145.2075,16.45,134.388
62,12.258,173.114,187.778,1065.7164,145.28275,16.44,134.388
63,12.26,173.417,187.778,1065.7164,145.31225,16.46,133.194
64,12.258,174.175,187.778,1065.7164,145.355,16.46,133.194
65,12.26,174.911,187.778,1065.7164,145.268,16.43,133.194
66,12.26,175.95,187.778,1065.7164,145.27975,16.44,133.194
67,12.26,176.491,187.778,1065.7164,145.237,16.45,133.194
68,12.26,176.123,187.778,1065.7164,145.32975,16.44,133.194
69,12.263,176.448,187.778,1065.7164,145.28425,16.44,133.164
70,12.26,177.606,187.778,1065.7164,145.2385,16.43,133.194
71,12.26,178.797,187.778,1065.7164,145.268,16.39,133.194
72,12.26,179.674,187.778,1065.7164,145.23975,16.38,132.306
73,12.26,180.02,187.778,1065.7164,145.31075,16.38,131.946
74,12.258,181.027,187.778,1065.7164,145.31375,16.37,131.946
75,12.26,182.055,187.778,1065.7164,145.26925,16.35,131.946
76,12.258,183.083,187.778,1065.7164,145.28275,16.34,131.916
77,12.26,183.224,187.778,1065.7164,145.26925,16.31,131.916
78,12.26,183.04,187.778,1065.7164,145.3255,16.3,131.916
79,12.26,183.375,187.778,1065.7164,145.293,16.29,131.946
80,12.145,183.592,187.778,1065.7164,145.324,16.29,131.946
81,12.145,183.798,187.778,1065.7164,145.2945,16.25,131.916
82,12.147,184.241,187.778,1065.7164,145.30925,16.26,131.112
83,12.147,184.988,187.778,1065.7164,145.2945,16.25,130.722
84,12.147,185.822,187.778,1065.7164,145.2915,16.23,130.752
85,12.147,186.666,187.778,1065.7164,145.2945,16.23,130.722
86,12.147,186.33,187.778,1065.7164,145.355,16.21,130.752
87,12.145,186.828,187.778,1065.7164,145.296,16.2,130.752
88,12.147,186.579,187.778,1065.7164,145.3875,16.19,130.752
89,12.145,186.753,187.778,1065.7164,145.31075,16.18,130.722
90,12.26,186.915,187.778,1065.7164,145.3535,16.18,130.752
91,12.26,187.359,187.778,1065.7164,145.293,16.16,130.722
92,12.258,187.402,187.778,1065.7164,145.355,16.17,130.752
93,12.26,187.175,187.778,1065.7164,145.2945,16.14,130.752
94,12.26,187.575,187.778,1065.7164,145.35075,16.16,130.722
95,12.26,186.763,187.778,1065.7164,145.2945,16.14,130.722
96,12.26,186.255,187.778,1065.7164,145.3225,16.12,130.752
97,12.258,186.893,187.778,1065.7164,145.34325,16.11,130.722
98,12.147,187.716,187.778,1065.7164,145.38175,16.11,130.722
99,12.147,187.629,187.778,1065.7164,145.33725,16.11,130.752
100,12.147,188.095,187.778,1065.7164,145.293,16.1,130.752
101,12.147,188.344,187.778,1065.7164,145.33725,16.09,130.722
102,12.145,187.9,187.778,1065.7164,145.30775,16.1,130.722
103,12.145,187.922,187.778,1065.7164,145.36525,16.07,131.916
104,12.149,188.008,187.778,1065.7164,145.352,16.04,131.946
105,12.145,187.748,187.778,1065.7164,145.352,16.06,131.916
106,12.147,186.828,187.778,1065.7164,145.33725,16,130.752
107,12.145,186.222,187.778,1065.7164,145.3535,16.03,131.424
108,12.145,186.136,187.778,1065.7164,145.324,15.95,131.916
109,12.147,185.854,187.778,1065.7164,145.33875,15.99,131.916
110,12.149,185.573,187.778,1065.7164,145.29025,15.96,131.916
111,12.147,184.371,187.778,1065.7164,145.3225,15.94,131.916
112,12.145,183.765,187.778,1065.7164,145.395,15.88,133.194
113,12.147,184.306,187.778,1065.7164,145.35075,15.84,133.194
114,12.145,184.826,187.778,1065.7164,145.379,15.84,133.194
115,12.145,184.101,187.778,1065.7164,145.39625,15.79,133.194
116,12.145,184.393,187.778,1065.7164,145.34925,15.78,133.164
117,12.147,185.118,187.778,1065.7164,145.3505,15.78,133.218
118,12.151,185.649,187.778,1065.7164,145.411,15.65,133.218
119,12.147,186.06,187.778,1065.7164,145.36675,15.63,133.164
120,12.147,187.088,187.778,1065.7164,145.395,15.68,133.194
121,12.147,188.192,187.778,1065.7164,145.34925,15.63,133.242
122,12.147,189.015,187.778,1065.7164,145.41125,15.56,137.712
123,12.258,189.329,187.778,1065.7164,145.41125,15.56,138
124,12.26,189.513,187.778,1065.7164,145.42725,15.49,138
125,12.258,190.509,187.778,1065.7164,145.407,15.45,137.97
126,12.26,191.407,187.778,1065.7164,145.4835,15.42,138
127,12.258,192.176,187.778,1065.7164,145.38025,15.39,137.97
128,12.26,192.944,187.778,1065.7164,145.39225,15.39,138
129,12.26,194.47,187.778,1065.7164,145.38025,15.38,138
130,12.258,195.596,187.778,1065.7164,145.42725,15.34,138
131,12.258,196.148,187.778,1065.7164,145.46875,15.31,137.97
132,12.258,196.765,187.778,1065.7164,145.3935,15.27,140.208
133,12.258,198.4,187.778,1065.7164,145.4405,15.24,142.752
134,12.258,200.218,187.778,1065.7164,145.38025,15.22,142.752
135,12.26,201.441,187.778,1065.7164,145.45275,15.19,142.752
136,12.258,202.307,187.778,1065.7164,145.45125,15.17,142.752
137,12.258,203.26,187.778,1065.7164,145.4645,15.13,142.752
138,12.258,204.104,187.778,1065.7164,145.48075,15.11,142.752
139,12.258,205.219,187.778,1065.7164,145.407,15.1,142.752
140,12.258,205.684,187.778,1065.7164,145.466,15.08,142.752
141,12.26,206.172,187.778,1065.7164,145.39075,15.07,142.776
142,12.258,206.193,187.778,1065.7164,145.438,15.07,148.44
143,12.258,207.232,187.778,1065.7164,145.45275,15.07,148.728
144,12.258,207.741,187.778,1065.7164,145.3885,15.03,148.752
145,12.258,209.062,187.778,1065.7164,145.45275,15.06,148.728
146,12.26,209.441,187.778,1065.7164,145.466,15.06,148.752
147,12.256,209.116,187.778,1065.7164,145.44975,15.04,148.728
148,12.258,208.964,187.778,1065.7164,145.4645,15.02,148.728
149,12.258,208.38,187.778,1065.7164,145.492,15.02,148.752
150,12.263,209.094,187.778,1065.7164,145.47925,15.02,148.752
151,12.258,209.917,187.778,1065.7164,145.48225,15.01,148.728
152,12.258,210.523,187.778,1065.7164,145.435,14.99,153.378
153,12.258,210.122,187.778,1065.7164,145.4055,15.01,155.976
154,12.26,210.436,187.778,1065.7164,145.492,15.02,156
155,12.26,211.021,187.778,1065.7164,145.44975,15.02,156
156,12.26,210.642,187.778,1065.7164,145.50675,15.04,156
157,12.26,210.902,187.778,1065.7164,145.4955,15.06,156
158,12.258,211.118,187.778,1065.7164,145.492,15.09,156
159,12.26,211.107,187.778,1065.7164,145.492,15.1,156
160,12.26,211.465,187.778,1065.7164,145.51025,15.11,156
161,12.263,211.259,187.778,1065.7164,145.48225,15.15,156
162,12.26,211.335,187.778,1065.7164,145.4675,15.17,160.158
163,12.26,211.735,187.778,1065.7164,145.4645,15.18,161.976
164,12.263,211.486,187.778,1065.7164,145.48225,15.21,161.976
165,12.26,211.887,187.778,1065.7164,145.525,15.21,161.976
166,12.263,212.569,187.778,1065.7164,145.525,15.25,161.976
167,12.26,212.709,187.778,1065.7164,145.47725,15.29,161.976
168,12.26,212.688,187.778,1065.7164,145.4955,15.31,161.976
169,12.26,212.406,187.778,1065.7164,145.46875,15.32,161.976
170,12.26,212.093,187.778,1065.7164,145.525,15.33,161.976
171,12.26,212.125,187.778,1065.7164,145.553,15.38,161.976
172,12.26,213.272,187.778,1065.7164,145.5575,15.42,166.728
173,12.258,213.987,187.778,1065.7164,145.52925,15.46,167.922
174,12.26,214.073,187.778,1065.7164,145.544,15.49,167.922
175,12.258,214.766,187.778,1065.7164,145.49825,15.53,167.922
176,12.26,216.043,187.778,1065.7164,145.4715,15.53,167.922
177,12.26,217.05,187.778,1065.7164,145.575,15.6,167.922
178,12.26,218.057,187.778,1065.7164,145.575,15.62,167.952
179,12.26,218.501,187.778,1065.7164,145.55875,15.63,167.952
180,12.26,219.063,187.778,1065.7164,145.53075,15.64,167.922
181,12.26,219.074,187.778,1065.7164,145.53075,15.77,167.952
182,12.26,220.005,187.778,1065.7164,145.575,15.77,172.602
183,12.263,220.2,187.778,1065.7164,145.57375,15.9,172.782
184,12.258,221.293,187.778,1065.7164,145.5025,15.92,172.782
185,12.263,222.614,187.778,1065.7164,145.56175,15.89,172.782
186,12.26,223.989,187.778,1065.7164,145.62075,15.99,172.782
187,12.26,224.714,187.778,1065.7164,145.59125,16.01,172.782
188,12.258,225.526,187.778,1065.7164,145.61925,16.05,172.758
189,12.256,226.76,187.778,1065.7164,145.532,16.11,172.782
190,12.26,227.777,187.778,1065.7164,145.606,16.16,172.782
191,12.258,228.794,187.778,1065.7164,145.6045,16.19,172.782
192,12.263,229.855,187.778,1065.7164,145.54825,16.26,178.446
193,12.26,230.397,187.778,1065.7164,145.516,16.34,179.952
194,12.26,230.884,187.778,1065.7164,145.65025,16.42,179.976
195,12.258,231.825,187.778,1065.7164,145.56025,16.51,179.976
196,12.258,232.507,187.778,1065.7164,145.591,16.57,179.952
197,12.26,233.092,187.778,1065.7164,145.62225,16.63,179.976
198,12.26,234.694,187.778,1065.7164,145.606,16.72,179.976
199,12.26,235.549,187.778,1065.7164,145.5735,16.78,179.952
200,12.26,236.242,187.778,1065.7164,145.57625,16.89,179.976
201,12.258,237.876,187.778,1065.7164,145.52925,16.99,179.976
202,12.26,238.049,187.778,1065.7164,145.66225,17.11,187.044
203,12.26,238.569,187.778,1065.7164,145.618,17.21,187.146
204,12.26,239.879,187.778,1065.7164,145.603,17.29,187.176
205,12.26,241.394,187.778,1065.7164,145.6355,17.41,187.176
206,12.258,243.126,187.778,1065.7164,145.58975,17.51,187.146
207,12.263,244.533,187.778,1065.7164,145.63125,17.61,187.176
208,12.26,246.287,187.778,1065.7164,145.61775,17.74,187.176
209,12.263,247.434,187.778,1065.7164,145.59125,17.85,187.176
210,12.26,249.491,187.778,1065.7164,145.69175,17.98,187.176
211,12.26,251.969,187.778,1065.7164,145.618,18.09,187.176
212,12.26,253.842,187.778,1065.7164,145.71975,18.21,194.97
213,12.258,256.104,187.778,1065.7164,145.587,18.33,195.594
214,12.26,258.486,187.778,1065.7164,145.64875,18.49,195.594
215,12.26,260.607,187.778,1065.7164,145.69175,18.64,195.618
216,12.258,262.318,187.778,1065.7164,145.66225,18.78,195.594
217,12.263,266.052,187.778,1065.7164,145.58975,18.89,195.618
218,12.258,268.314,187.778,1065.7164,145.677,19.03,195.594
219,12.258,269.375,187.778,1065.7164,145.6475,19.19,195.618
220,12.263,270.999,187.778,1065.7164,145.7065,19.34,195.594
221,12.26,272.622,187.778,1065.7164,145.69175,19.47,195.618
222,12.26,275.285,187.778,1065.7164,145.6445,19.65,202.686
223,12.258,277.266,187.778,1065.7164,145.63275,19.8,204.63
224,12.26,279.085,187.778,1065.7164,145.72125,19.97,205.152
225,12.258,280.08,187.778,1065.7164,145.708,20.21,205.176
226,12.26,281.444,187.778,1065.7164,145.70775,20.38,205.176
227,12.26,282.657,187.778,1065.7164,145.6475,20.58,205.176
228,14.554,282.97,187.778,1065.7164,145.62975,20.77,205.176
229,14.866,284.15,187.778,1065.7164,145.75075,20.97,205.176
230,14.858,285.774,187.778,1065.7164,145.7905,21.18,205.176
231,16.39,286.856,187.778,1065.7164,145.7345,21.38,205.176
232,16.406,288.632,187.778,1065.7164,145.705,21.56,213.96
233,16.503,289.725,187.778,1065.7164,145.71975,21.79,215.232
234,15.754,291.727,187.778,1065.7164,145.71975,22.02,215.982
235,16.012,292.323,187.778,1065.7164,145.69025,22.27,215.982
236,15.922,292.994,187.778,1065.7164,145.7655,22.46,215.982
237,16.299,294.163,187.778,1065.7164,145.74925,22.67,215.982
238,16.024,294.737,187.778,1065.7164,145.74775,22.93,215.982
239,15.943,296.209,187.778,1065.7164,145.792,23.19,215.982
240,15.943,297.508,187.778,1065.7164,145.733,23.4,216.012
241,15.947,297.518,187.778,1065.7164,145.6755,23.65,215.982
242,15.943,298.471,187.778,1065.7164,145.77725,23.89,226.014
243,16.085,299.64,187.778,1065.7164,145.74925,24.16,229.206
244,16.077,300.463,187.778,1065.7164,145.74925,24.37,229.206
245,16.131,301.762,187.778,1065.7164,145.71825,24.63,229.236
246,16.134,303.255,187.778,1065.7164,145.764,24.86,229.206
247,16.134,304.197,187.778,1065.7164,145.65925,25.14,229.206
248,16.134,304.955,187.778,1065.7164,145.78025,25.38,229.236
249,16.134,304.857,187.778,1065.7164,145.8215,25.64,229.236
250,16.134,306.081,187.778,1065.7164,145.7535,25.87,229.236
251,16.131,306.892,187.778,1065.7164,145.736,26.11,229.236
252,16.131,307.607,187.778,1065.7164,145.78025,26.32,235.44
253,16.136,307.802,187.778,1065.7164,145.792,26.56,244.794
254,16.134,307.91,187.778,1065.7164,145.86875,26.81,244.818
255,16.131,307.185,187.778,1065.7164,145.80975,27.06,244.848
256,16.134,306.968,187.778,1065.7164,145.795,27.27,244.818
257,16.138,307.011,187.778,1065.7164,145.81125,27.49,244.848
258,16.134,306.936,187.778,1065.7164,145.795,27.74,244.818
259,16.134,306.535,187.778,1065.7164,145.8125,28,244.848
260,16.134,306.135,187.778,1065.7164,145.80975,28.21,244.818
261,16.134,305.691,187.778,1065.7164,145.81125,28.33,244.818
262,16.134,305.528,187.778,1065.7164,145.81125,28.54,261.966
263,16.134,305.485,187.778,1065.7164,145.81125,28.78,264.018
264,16.134,304.825,187.778,1065.7164,145.795,29.01,265.164
265,16.134,304.424,187.778,1065.7164,145.89675,29.34,265.242
266,16.131,303.699,187.778,1065.7164,145.77875,29.57,265.242
267,16.134,303.688,187.778,1065.7164,145.857,29.8,265.242
268,16.131,303.266,187.778,1065.7164,145.851,30.04,264.018
269,16.134,302.92,187.778,1065.7164,145.89825,30.26,264.018
270,16.134,303.071,187.778,1065.7164,145.87025,30.5,264.744
271,16.134,302.032,187.778,1065.7164,145.8245,30.7,264.018
272,16.134,301.166,187.778,1065.7164,145.8525,30.91,282.696
273,16.134,301.697,187.778,1065.7164,145.854,31.12,287.97
274,16.136,302.108,187.778,1065.7164,145.885,31.29,288
275,16.136,302.822,187.778,1065.7164,145.8645,31.54,288.024
276,16.138,302.66,187.778,1065.7164,145.98675,31.75,288.024
277,16.136,302.379,187.778,1065.7164,145.86875,31.94,288.024
278,16.131,302.476,187.778,1065.7164,145.9425,32.11,288.024
279,16.134,302.628,187.778,1065.7164,145.9145,32.31,288.024
280,16.134,302.671,187.778,1065.7164,145.8525,32.49,288.024
281,16.138,302.617,187.778,1065.7164,145.83625,32.65,288.048
282,16.136,302.162,187.778,1065.7164,145.9145,32.81,310.728
283,16.138,302,187.778,1065.7164,145.92775,32.97,316.758
284,16.136,302.184,187.778,1065.7164,145.90875,33.14,316.836
285,16.136,302.119,187.778,1065.7164,145.89675,33.26,316.86
286,16.136,302.996,187.778,1065.7164,145.9545,33.43,316.836
287,16.134,304.078,187.778,1065.7164,145.97075,33.56,316.86
288,16.134,304.619,187.778,1065.7164,145.92625,33.71,316.86
289,16.138,304.435,187.778,1065.7164,145.92625,33.82,316.86
290,16.136,305.095,187.778,1065.7164,145.92625,33.9,316.86
291,16.134,304.717,187.778,1065.7164,145.9115,34.02,316.884
292,16.136,304.446,187.778,1065.7164,145.9425,34.15,342.762
293,16.134,305.279,187.778,1065.7164,145.9425,34.24,344.394
294,16.134,305.193,187.778,1065.7164,145.95725,34.32,344.448
295,16.134,305.907,187.778,1065.7164,145.9855,34.36,344.424
296,16.134,306.708,187.778,1065.7164,145.92925,34.44,344.424
297,16.134,307.314,187.778,1065.7164,145.913,34.51,344.448
298,16.131,307.087,187.778,1065.7164,146.00025,34.57,344.448
299,16.136,307.152,187.778,1065.7164,145.92775,34.61,344.448
300,16.136,306.99,187.778,1065.7164,145.95575,34.62,344.448
301,16.134,307.488,187.778,1065.7164,145.9545,34.65,344.448
302,16.136,307.867,187.778,1065.7164,145.941,34.68,364.476
303,16.134,307.509,187.778,1065.7164,145.95725,34.76,366.348
304,16.134,307.65,187.778,1065.7164,146.0135,34.79,367.206
305,16.136,307.607,187.778,1065.7164,145.972,34.86,366.372
306,16.134,307.574,187.778,1065.7164,146.02975,34.88,366.138
307,16.136,308.343,187.778,1065.7164,146.0015,34.89,366.582
308,16.138,309.523,187.778,1065.7164,145.98975,34.93,366.762
309,16.138,310.399,187.778,1065.7164,145.99875,34.94,366.06
310,55.918,311.298,187.778,1065.7164,145.96925,34.97,366.036
311,95.136,311.947,187.778,1065.7164,145.93825,35.04,366.06
312,99.315,311.936,187.778,1065.7164,145.972,35.03,377.802
313,99.284,312.056,187.778,1065.7164,145.9705,35.08,380.43
314,99.351,312.51,187.778,1065.7164,146.015,35.07,380.454
315,99.284,312.434,187.778,1065.7164,146.0015,35.17,380.454
316,99.288,312.553,187.778,1065.7164,146.0445,35.2,380.454
317,99.292,311.915,187.778,1065.7164,145.95725,35.27,380.454
318,99.299,311.872,187.778,1065.7164,146.0445,35.27,380.454
319,99.305,311.861,187.778,1065.7164,146.0165,35.4,380.454
320,99.303,311.655,187.778,1065.7164,145.97075,35.44,380.454
321,99.129,311.623,187.778,1065.7164,146.02975,35.54,380.742
322,99.257,311.536,187.778,1065.7164,146.0135,35.6,382.764
323,99.129,311.222,187.778,1065.7164,146.0135,35.67,382.818
324,99.227,309.966,187.778,1065.7164,146.1035,35.77,382.818
325,99.137,310.075,187.778,1065.7164,146.05775,35.83,382.842
326,99.211,309.869,187.778,1065.7164,146.05775,35.95,382.842
327,99.215,309.826,187.778,1065.7164,146.05625,36.03,382.842
328,99.221,309.371,187.778,1065.7164,146.0725,36.14,382.842
329,99.223,309.111,187.778,1065.7164,146.043,36.26,382.842
330,99.223,308.267,187.778,1065.7164,146.11825,36.39,382.872
331,99.229,307.001,187.778,1065.7164,146.08875,36.49,382.842
332,99.091,306.016,187.778,1065.7164,146.043,36.63,381.726
333,99.041,305.366,187.778,1065.7164,146.08725,36.78,380.478
334,99.047,304.327,187.778,1065.7164,146.0445,36.93,380.454
335,99.041,303.082,187.778,1065.7164,146.0725,37.06,380.454
336,99.051,302.13,187.778,1065.7164,146.114,37.21,380.454
337,99.051,300.452,187.778,1065.7164,146.05775,37.37,380.454
338,99.051,298.763,187.778,1065.7164,146.1345,37.52,380.478
339,99.158,297.204,187.778,1065.7164,146.13175,37.68,380.454
340,99.175,295.841,187.778,1065.7164,146.102,37.82,380.454
341,99.175,294.769,187.778,1065.7164,146.14625,37.97,380.454
342,99.177,293.892,187.778,1065.7164,145.99875,38.13,377.676
343,99.183,293.178,187.778,1065.7164,146.133,38.36,375.672
344,99.183,292.561,187.778,1065.7164,146.074,38.49,375.672
345,99.183,291.608,187.778,1065.7164,146.14775,38.65,375.702
346,99.19,290.677,187.778,1065.7164,146.15975,38.83,375.672
347,99.192,289.768,187.778,1065.7164,146.11975,38.95,375.672
348,99.187,287.841,187.778,1065.7164,146.14775,39.06,375.672
349,99.194,286.499,187.778,1065.7164,146.14925,39.19,375.672
350,99.2,285.568,187.778,1065.7164,146.1435,39.33,375.672
351,99.192,284.756,187.778,1065.7164,146.1745,39.45,375.672
352,99.198,284.551,187.778,1065.7164,146.18925,39.55,369.804
353,99.198,283.815,187.778,1065.7164,146.1035,39.64,368.454
354,99.208,282.83,187.778,1065.7164,146.17725,39.73,368.424
355,99.2,281.747,187.778,1065.7164,146.133,39.84,368.4
356,99.213,280.34,187.778,1065.7164,146.1435,39.91,368.424
357,99.206,279.647,187.778,1065.7164,146.2055,39.99,368.424
358,99.204,277.991,187.778,1065.7164,146.1745,40.07,368.424
359,99.211,277.201,187.778,1065.7164,146.1625,40.15,368.4
360,99.213,276.4,187.778,1065.7164,146.192,40.21,368.424
361,99.211,275.837,187.778,1065.7164,146.16125,40.29,368.424
362,99.215,275.069,187.778,1065.7164,146.2335,40.34,363.258
363,99.215,274.636,187.778,1065.7164,146.2055,40.39,361.23
364,99.221,274.333,187.778,1065.7164,146.2055,40.4,361.23
365,99.219,273.791,187.778,1065.7164,146.15825,40.46,361.254
366,99.221,273.326,187.778,1065.7164,146.2055,40.49,361.254
367,99.227,272.839,187.778,1065.7164,146.21875,40.52,361.254
368,99.227,272.146,187.778,1065.7164,146.204,40.55,361.23
369,99.234,271.367,187.778,1065.7164,146.21875,40.56,361.254
370,99.227,270.512,187.778,1065.7164,146.1625,40.59,361.254
371,99.227,269.916,187.778,1065.7164,146.22025,40.62,361.254
372,99.232,269.31,187.778,1065.7164,146.2055,40.63,356.736
373,99.236,269.159,187.778,1065.7164,146.1315,40.62,354.114
374,99.232,268.78,187.778,1065.7164,146.235,40.62,354.084
375,99.238,268.455,187.778,1065.7164,146.17575,40.62,354.084
376,99.234,268.044,187.778,1065.7164,146.23775,40.62,354.114
377,99.244,267.762,187.778,1065.7164,146.18925,40.6,354.084
378,99.24,267.751,187.778,1065.7164,146.266,40.54,354.084
379,99.238,267.308,187.778,1065.7164,146.15975,40.49,354.084
380,99.234,266.961,187.778,1065.7164,146.26575,40.47,354.084
381,99.246,267.091,187.778,1065.7164,146.30725,40.45,354.084
382,99.244,266.171,187.778,1065.7164,146.266,40.39,346.914
383,99.234,265.597,187.778,1065.7164,146.2615,40.35,345.672
384,99.244,265.294,187.778,1065.7164,146.263,40.31,345.642
385,99.252,264.504,187.778,1065.7164,146.294,40.27,345.672
386,99.25,263.985,187.778,1065.7164,146.2925,40.2,345.642
387,99.252,263.985,187.778,1065.7164,146.21875,40.13,345.642
388,99.252,263.627,187.778,1065.7164,146.31025,40.07,345.642
389,99.246,264.504,187.778,1065.7164,146.2335,40.04,345.642
390,99.25,264.32,187.778,1065.7164,146.3115,39.97,345.642
391,99.252,263.714,187.778,1065.7164,146.254,39.93,345.642
392,99.255,262.74,187.778,1065.7164,146.3115,39.87,342.138
393,99.261,262.361,187.778,1065.7164,146.31025,39.82,342.06
394,99.263,261.646,187.778,1065.7164,146.282,39.77,342.06
395,99.263,261.603,187.778,1065.7164,146.325,39.75,342.06
396,99.265,261.354,187.778,1065.7164,146.29675,39.68,342.06
397,99.263,260.791,187.778,1065.7164,146.30875,39.63,342.084
398,99.263,259.557,187.778,1065.7164,146.266,39.59,342.06
399,99.259,259.103,187.778,1065.7164,146.3235,39.56,342.06
400,99.267,258.886,187.778,1065.7164,146.27925,39.5,342.06
401,99.263,258.648,187.778,1065.7164,146.2955,39.45,342.06
402,99.263,258.313,187.778,1065.7164,146.3235,39.42,339.774
403,99.261,258.886,187.778,1065.7164,146.353,39.4,339.666
404,99.267,258.442,187.778,1065.7164,146.27775,39.37,339.666
405,99.267,257.955,187.778,1065.7164,146.3545,39.31,339.666
406,99.263,257.555,187.778,1065.7164,146.33525,39.31,339.666
407,99.271,256.96,187.778,1065.7164,146.31,39.29,339.666
408,99.267,256.57,187.778,1065.7164,146.36475,39.26,339.666
409,99.269,255.552,187.778,1065.7164,146.33825,39.23,339.666
410,99.273,255.693,187.778,1065.7164,146.376,39.23,339.666
411,99.273,255.682,187.778,1065.7164,146.32475,39.19,339.642
412,99.265,255.217,187.778,1065.7164,146.4105,39.19,332.652
413,99.282,254.86,187.778,1065.7164,146.3855,39.18,332.418
414,99.278,254.188,187.778,1065.7164,146.35575,39.17,332.418
415,99.276,253.528,187.778,1065.7164,146.3545,39.13,332.418
416,99.271,253.344,187.778,1065.7164,146.37075,39.1,332.418
417,99.284,252.695,187.778,1065.7164,146.4135,39.07,332.418
418,99.271,252.359,187.778,1065.7164,146.41625,39.07,332.394
419,99.286,253.387,187.778,1065.7164,146.35725,39.07,332.418
420,99.278,254.578,187.778,1065.7164,146.36925,39.07,332.418
421,99.273,255.52,187.778,1065.7164,146.35875,39.09,332.418
422,99.284,256.721,187.778,1065.7164,146.42975,39.09,320.886
423,99.282,257.003,187.778,1065.7164,146.384,39.09,319.278
424,99.29,257.858,187.778,1065.7164,146.341,39.1,319.278
425,99.286,258.388,187.778,1065.7164,146.40025,39.1,319.278
426,99.286,259.417,187.778,1065.7164,146.40025,39.12,319.248
